customer_id,first_name,last_name,email,phone,city,country
1000,Ronald,Ramirez,iwilliams@example.net,239.543.7810,Dickersonhaven,Seychelles
1001,Karla,Harper,sara90@example.net,770.630.3139x229,Christinaport,Guatemala
1002,Monica,Miller,kevin77@example.net,001-489-294-6022x08814,South Marvin,Poland
1003,Melissa,Peterson,williamsalicia@example.com,707-817-1917x292,Anthonychester,Ghana
1004,Emily,Bennett,angela66@example.org,357.635.1766x35631,Gravesport,Portugal
1005,Angela,Black,perkinsmeredith@example.com,760-733-0539,West Dylan,Hong Kong
1006,William,Thornton,heather49@example.com,001-301-927-8210x47148,Laurieport,South Georgia and the South Sandwich Islands
1007,Jennifer,Barr,danielsbrittany@example.net,(889)728-3780x00456,New Jenniferborough,Syrian Arab Republic
1008,Jamie,Patton,pattonharry@example.org,+1-509-924-7884x72739,New Virginia,Ethiopia
1009,Joanne,Frazier,deborah81@example.net,901-606-6998x6128,East Erin,Mali
1010,Jeffrey,Ruiz,alexandrahogan@example.com,225.473.6455x1570,Edwinbury,Belarus
1011,Debbie,Jones,alexisquinn@example.net,742.893.2557x65001,Port Cindyport,Indonesia
1012,Kristina,Burke,joshuabrooks@example.com,001-520-249-8658x83539,Lake Lauren,Iran
1013,Dawn,Hanson,james65@example.org,+1-459-592-8802,Port Brenda,United States Minor Outlying Islands
1014,James,Hill,smunoz@example.org,906.743.9286x75256,Youngville,Cape Verde
1015,Joseph,Roth,adamjohnson@example.org,696.706.0840,North Gregoryland,Saint Helena
1016,Carlos,Greene,campbellcarl@example.net,(288)928-2509x18595,Stanleyville,Ethiopia
1017,Caleb,Johnson,haileycarter@example.net,577-897-2298x11872,North Charles,Micronesia
1018,Ronald,Cooke,alexandraguzman@example.com,+1-856-432-5132x352,Brettberg,Bahrain
1019,Sandra,Hernandez,bryanamy@example.net,001-765-595-2880x071,South Rachelberg,United Arab Emirates
1020,Mary,Le,brandyjohnson@example.com,001-747-353-2386,Rebeccaside,Portugal
1021,Erin,Shields,michael10@example.com,(878)447-9360x3215,East Nataliechester,Panama
1022,Jason,Lopez,johnathan64@example.org,(320)934-5001,West Kimberly,Honduras
1023,Kevin,Fields,cabrerajohn@example.net,+1-263-562-6682x870,North Nicole,Hungary
1024,Jennifer,Martin,raymonddavis@example.com,586.530.9005,Whiteborough,Holy See (Vatican City State)
1025,Kathleen,Prince,spearskevin@example.com,925.824.1072x8355,Lake Natalie,Anguilla
1026,Michael,Sutton,bethmatthews@example.org,483-684-5011,Leslieville,Myanmar
1027,Robert,Smith,mcleankristen@example.net,(362)582-0247x3261,East Jacquelineton,Bahrain
1028,Walter,Hernandez,todd59@example.org,448.272.0559,Port Dennisside,Vanuatu
1029,James,Morrison,jonesmary@example.net,7318333871,New Cathy,French Southern Territories
1030,Lisa,Harris,blackkeith@example.com,937-826-8030,Jamietown,British Virgin Islands
1031,Justin,Gonzalez,zacharyford@example.com,001-850-331-4519x8587,Rebeccashire,Canada
1032,James,Gillespie,zball@example.org,001-360-443-9248x053,West Andrew,Jordan
1033,Brendan,Fritz,sthompson@example.org,+1-738-409-0340x963,South Tylerton,Slovenia
1034,Victoria,Ramos,jhernandez@example.com,442-539-9550x736,Toddville,Portugal
1035,Amy,Proctor,troyramos@example.net,437-820-5873x9848,Franklinbury,Tuvalu
1036,Barbara,Ward,shawnwright@example.org,706-462-8746x200,Teresaview,Sierra Leone
1037,Melissa,Jones,yperez@example.net,771-886-9897x90673,North Justintown,Equatorial Guinea
